1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2004/2004-358|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2004/2004-358|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2004/2004-359|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2004/2004-359|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2004/2004-564|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2004/2004-565|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2004/2004-566|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2004/2004-603|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2004/2004-603|Cyclin-dependent kinase 2/cyclin E1|CHEMBL1907605|1.00
2004/2004-603|Cyclin-dependent kinase 5/CDK5 activator 1|CHEMBL1907600|1.00
2004/2004-603|Interferon-induced, double-stranded RNA-activated protein kinase|CHEMBL5785|1.00
2004/2004-603|Serine/threonine-protein kinase Aurora-A|CHEMBL4722|1.00
2004/2004-603|Dual-specificity tyrosine-phosphorylation regulated kinase 2|CHEMBL4376|1.00
2004/2004-603|Dual specificty protein kinase CLK1|CHEMBL4224|1.00
2004/2004-603|Cyclin-dependent kinase 5|CHEMBL4036|1.00
2004/2004-603|Serine/threonine-protein kinase Aurora-C|CHEMBL3935|1.00
2004/2004-603|Cyclin-dependent kinase 1|CHEMBL308|1.00
2004/2004-603|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2004/2004-603|Dual-specificity tyrosine-phosphorylation regulated kinase 1A|CHEMBL2292|1.00
2004/2004-603|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2004/2004-603|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2004/2004-603|Glycogen synthase kinase-3|CHEMBL2095188|1.00
2004/2004-603|Cyclin-dependent kinase 1/cyclin B|CHEMBL2094127|1.00
2004/2004-603|Bile acid receptor FXR|CHEMBL2047|1.00
2004/2004-603|Cyclin-dependent kinase 1/cyclin B1|CHEMBL1907602|1.00
2004/2004-603|Serine/threonine-protein kinase 17B|CHEMBL3980|1.00
2004/2004-604|Interferon-induced, double-stranded RNA-activated protein kinase|CHEMBL5785|1.00
2004/2004-604|Serine/threonine-protein kinase Aurora-A|CHEMBL4722|1.00
2004/2004-604|Dual-specificity tyrosine-phosphorylation regulated kinase 2|CHEMBL4376|1.00
2004/2004-604|Dual specificty protein kinase CLK1|CHEMBL4224|1.00
2004/2004-604|Cyclin-dependent kinase 5|CHEMBL4036|1.00
2004/2004-604|Serine/threonine-protein kinase Aurora-C|CHEMBL3935|1.00
2004/2004-604|Cyclin-dependent kinase 1|CHEMBL308|1.00
2004/2004-604|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2004/2004-604|Dual-specificity tyrosine-phosphorylation regulated kinase 1A|CHEMBL2292|1.00
2004/2004-604|Serine/threonine-protein kinase Aurora-B|CHEMBL2185|1.00
2004/2004-604|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2004/2004-604|Glycogen synthase kinase-3|CHEMBL2095188|1.00
2004/2004-604|Cyclin-dependent kinase 1/cyclin B|CHEMBL2094127|1.00
2004/2004-604|Bile acid receptor FXR|CHEMBL2047|1.00
2004/2004-604|Cyclin-dependent kinase 1/cyclin B1|CHEMBL1907602|1.00
2004/2004-604|Cyclin-dependent kinase 5/CDK5 activator 1|CHEMBL1907600|1.00
2004/2004-604|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2004/2004-604|Serine/threonine-protein kinase 17B|CHEMBL3980|1.00
2004/2004-604|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2004/2004-604|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2004/2004-606|Acetylcholinesterase|CHEMBL220|1.00
2004/2004-607|Acetylcholinesterase|CHEMBL220|1.00
2004/2004-643|P-glycoprotein 1|CHEMBL4302|1.00
2005/2005-110|Thrombin|CHEMBL204|1.00
2005/2005-114|Beta-secretase 1|CHEMBL4822|1.00
2005/2005-153|Hypoxia-inducible factor 1 alpha|CHEMBL4261|1.00
2005/2005-153|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2005/2005-169|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2005/2005-170|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2005/2005-214|Coagulation factor VII|CHEMBL3991|1.00
2005/2005-214|Thrombin|CHEMBL204|1.00
2005/2005-215|Coagulation factor VII|CHEMBL3991|1.00
2005/2005-215|Thrombin|CHEMBL204|1.00
2005/2005-216|Coagulation factor VII|CHEMBL3991|1.00
2005/2005-216|Thrombin|CHEMBL204|1.00
2005/2005-370|MAP kinase-activated protein kinase 2|CHEMBL2208|1.00
2005/2005-430|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
2005/2005-430|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2005/2005-624|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2005/2005-691|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
2005/2005-692|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
2005/2005-693|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
2006/2006-153|Vascular endothelial growth factor A|CHEMBL1783|1.00
2006/2006-153|P-selectin|CHEMBL5378|1.00
2006/2006-245|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2006/2006-319|Protein farnesyltransferase|CHEMBL2094108|1.00
2006/2006-340|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2006/2006-340|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2006/2006-405|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2006/2006-410|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2006/2006-410|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2006/2006-411|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2006/2006-411|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2006/2006-412|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2006/2006-413|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2006/2006-453|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
2006/2006-453|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2006/2006-454|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
2006/2006-454|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2006/2006-474|Interleukin-8 receptor A|CHEMBL4029|1.00
2006/2006-475|Interleukin-8 receptor A|CHEMBL4029|1.00
2006/2006-482|LXR-alpha|CHEMBL2808|1.00
2006/2006-483|LXR-alpha|CHEMBL2808|1.00
2006/2006-500|Cannabinoid CB1 receptor|CHEMBL218|1.00
2006/2006-680|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2006/2006-680|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2006/2006-680|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2006/2006-738|P-selectin|CHEMBL5378|1.00
2006/2006-739|P-selectin|CHEMBL5378|1.00
2006/2006-740|P-selectin|CHEMBL5378|1.00
2006/2006-741|P-selectin|CHEMBL5378|1.00
2006/2006-781|Arachidonate 5-lipoxygenase|CHEMBL215|1.00
2007/2007-168|Beta-secretase 1|CHEMBL4822|1.00
2007/2007-262|Thrombin|CHEMBL204|1.00
2007/2007-262|Coagulation factor VII|CHEMBL3991|1.00
2007/2007-263|Histone deacetylase 3/NCoR1|CHEMBL3038484|1.00
2007/2007-263|Histone deacetylase|CHEMBL2093865|1.00
2007/2007-263|Histone deacetylase 10|CHEMBL5103|1.00
2007/2007-263|Histone deacetylase 4|CHEMBL3524|1.00
2007/2007-263|Histone deacetylase 11|CHEMBL3310|1.00
2007/2007-263|Histone deacetylase 1|CHEMBL325|1.00
2007/2007-263|Histone deacetylase 8|CHEMBL3192|1.00
2007/2007-263|Histone deacetylase 7|CHEMBL2716|1.00
2007/2007-263|Histone deacetylase 5|CHEMBL2563|1.00
2007/2007-263|Histone deacetylase 2|CHEMBL1937|1.00
2007/2007-263|Histone deacetylase 3|CHEMBL1829|1.00
2007/2007-263|Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2)|CHEMBL2111363|1.00
2007/2007-263|Histone deacetylase 6|CHEMBL1865|1.00
2007/2007-264|Histone deacetylase 4|CHEMBL3524|1.00
2007/2007-264|Histone deacetylase 1|CHEMBL325|1.00
2007/2007-264|Histone deacetylase 3/NCoR1|CHEMBL3038484|1.00
2007/2007-264|Histone deacetylase 2|CHEMBL1937|1.00
2007/2007-264|Histone deacetylase 10|CHEMBL5103|1.00
2007/2007-264|Histone deacetylase 11|CHEMBL3310|1.00
2007/2007-264|Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2)|CHEMBL2111363|1.00
2007/2007-264|Histone deacetylase 6|CHEMBL1865|1.00
2007/2007-264|Histone deacetylase|CHEMBL2093865|1.00
2007/2007-264|Histone deacetylase 8|CHEMBL3192|1.00
2007/2007-264|Histone deacetylase 7|CHEMBL2716|1.00
2007/2007-264|Histone deacetylase 5|CHEMBL2563|1.00
2007/2007-264|Histone deacetylase 3|CHEMBL1829|1.00
2007/2007-265|Histone deacetylase 10|CHEMBL5103|1.00
2007/2007-265|Histone deacetylase 4|CHEMBL3524|1.00
2007/2007-265|Histone deacetylase 11|CHEMBL3310|1.00
2007/2007-265|Histone deacetylase 1|CHEMBL325|1.00
2007/2007-265|Histone deacetylase 3/NCoR1|CHEMBL3038484|1.00
2007/2007-265|Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2)|CHEMBL2111363|1.00
2007/2007-265|Histone deacetylase 2|CHEMBL1937|1.00
2007/2007-265|Histone deacetylase 6|CHEMBL1865|1.00
2007/2007-265|Histone deacetylase 8|CHEMBL3192|1.00
2007/2007-265|Histone deacetylase 7|CHEMBL2716|1.00
2007/2007-265|Histone deacetylase 5|CHEMBL2563|1.00
2007/2007-265|Histone deacetylase 3|CHEMBL1829|1.00
2007/2007-265|Histone deacetylase|CHEMBL2093865|1.00
2007/2007-266|Histone deacetylase 3/NCoR1|CHEMBL3038484|1.00
2007/2007-266|Histone deacetylase|CHEMBL2093865|1.00
2007/2007-266|Histone deacetylase 10|CHEMBL5103|1.00
2007/2007-266|Histone deacetylase 4|CHEMBL3524|1.00
2007/2007-266|Histone deacetylase 11|CHEMBL3310|1.00
2007/2007-266|Histone deacetylase 1|CHEMBL325|1.00
2007/2007-266|Histone deacetylase 8|CHEMBL3192|1.00
2007/2007-266|Histone deacetylase 7|CHEMBL2716|1.00
2007/2007-266|Histone deacetylase 5|CHEMBL2563|1.00
2007/2007-266|Histone deacetylase 2|CHEMBL1937|1.00
2007/2007-266|Histone deacetylase 3|CHEMBL1829|1.00
2007/2007-267|Histone deacetylase 10|CHEMBL5103|1.00
2007/2007-267|Histone deacetylase 4|CHEMBL3524|1.00
2007/2007-267|Histone deacetylase 11|CHEMBL3310|1.00
2007/2007-267|Histone deacetylase 1|CHEMBL325|1.00
2007/2007-267|Histone deacetylase 8|CHEMBL3192|1.00
2007/2007-267|Histone deacetylase 3/NCoR1|CHEMBL3038484|1.00
2007/2007-267|Histone deacetylase 7|CHEMBL2716|1.00
2007/2007-267|Histone deacetylase 5|CHEMBL2563|1.00
2007/2007-267|Histone deacetylase 2|CHEMBL1937|1.00
2007/2007-267|Histone deacetylase 3|CHEMBL1829|1.00
2007/2007-267|Histone deacetylase|CHEMBL2093865|1.00
2007/2007-267|Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2)|CHEMBL2111363|1.00
2007/2007-267|Histone deacetylase 6|CHEMBL1865|1.00
2007/2007-320|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
2007/2007-367|PI3-kinase p110-alpha subunit|CHEMBL4005|1.00
2007/2007-367|PI3-kinase p110-gamma subunit|CHEMBL3267|1.00
2007/2007-38|Heat shock protein HSP 90-beta|CHEMBL4303|1.00
2007/2007-38|Estrogen receptor beta|CHEMBL242|1.00
2007/2007-38|Heat shock protein HSP90|CHEMBL2095165|1.00
2007/2007-400|Bile acid receptor FXR|CHEMBL2047|1.00
2007/2007-507|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
2007/2007-508|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
2007/2007-509|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
2007/2007-557|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2007/2007-712|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2007/2007-713|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2007/2007-715|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2007/2007-717|LXR-alpha|CHEMBL2808|1.00
2007/2007-717|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2007/2007-717|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2007/2007-77|Paired box protein Pax-8|CHEMBL2362980|1.00
2007/2007-857|Cyclooxygenase-2|CHEMBL230|1.00
2007/2007-858|Cyclooxygenase-2|CHEMBL230|1.00
2007/2007-859|Cyclooxygenase-2|CHEMBL230|1.00
2008/2008-1033|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
2008/2008-1033|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
2008/2008-160|Histone deacetylase|CHEMBL2093865|1.00
2008/2008-161|Histone deacetylase|CHEMBL2093865|1.00
2008/2008-210|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-211|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-220|Bile acid receptor FXR|CHEMBL2047|1.00
2008/2008-263|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-311|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2008/2008-312|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2008/2008-331|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2008/2008-347|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-348|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-349|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2008/2008-381|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2008/2008-381|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2008/2008-525|Phospholipase A2 group IIA|CHEMBL3474|1.00
2008/2008-531|Bile acid receptor FXR|CHEMBL2047|1.00
2008/2008-532|Bile acid receptor FXR|CHEMBL2047|1.00
2008/2008-545|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-546|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2008/2008-546|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-546|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-547|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2008/2008-547|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-547|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-549|LXR-alpha|CHEMBL2808|1.00
2008/2008-6|Proteasome Macropain subunit MB1|CHEMBL4662|1.00
2008/2008-6|Proteasome component C5|CHEMBL4208|1.00
2008/2008-6|Proteasome Macropain subunit|CHEMBL3492|1.00
2008/2008-806|HMG-CoA reductase|CHEMBL402|1.00
2008/2008-806|LXR-alpha|CHEMBL2808|1.00
2008/2008-806|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-806|Sterol regulatory element-binding protein 2|CHEMBL1795166|1.00
2008/2008-806|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-807|LXR-alpha|CHEMBL2808|1.00
2008/2008-807|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-833|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2008/2008-833|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2008/2008-833|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2008/2008-833|Fatty acid binding protein adipocyte|CHEMBL2083|1.00
2008/2008-833|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
2008/2008-833|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
2008/2008-833|G-protein coupled receptor 120|CHEMBL5339|1.00
2008/2008-833|Free fatty acid receptor 1|CHEMBL4422|1.00
2008/2008-833|Pregnane X receptor|CHEMBL3401|1.00
2008/2008-833|Cyclooxygenase-1|CHEMBL221|1.00
2008/2008-833|Oxoeicosanoid receptor 1|CHEMBL1628461|1.00
2008/2008-834|DNA topoisomerase I|CHEMBL1781|1.00
2008/2008-835|DNA topoisomerase I|CHEMBL1781|1.00
2008/2008-836|DNA topoisomerase I|CHEMBL1781|1.00
2008/2008-837|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2008/2008-837|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2008/2008-837|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2008/2008-837|Oxoeicosanoid receptor 1|CHEMBL1628461|1.00
2008/2008-838|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2008/2008-838|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2008/2008-838|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2008/2008-838|Oxoeicosanoid receptor 1|CHEMBL1628461|1.00
2008/2008-839|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2008/2008-839|Peroxisome proliferator-activated receptor alpha|CHEMBL239|1.00
2008/2008-839|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2008/2008-839|Oxoeicosanoid receptor 1|CHEMBL1628461|1.00
2008/2008-860|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-885|Histone-lysine N-methyltransferase NSD2|CHEMBL3108645|1.00
2008/2008-887|Histone-lysine N-methyltransferase NSD2|CHEMBL3108645|1.00
2008/2008-8|Proteasome Macropain subunit MB1|CHEMBL4662|1.00
2008/2008-8|Proteasome component C5|CHEMBL4208|1.00
2008/2008-8|Proteasome Macropain subunit|CHEMBL3492|1.00
2008/2008-925|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2008/2008-925|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-925|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-926|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2008/2008-926|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2008/2008-926|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2008/2008-950|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2008/2008-951|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2008/2008-9|Proteasome Macropain subunit MB1|CHEMBL4662|1.00
2008/2008-9|Proteasome component C5|CHEMBL4208|1.00
2008/2008-9|Proteasome Macropain subunit|CHEMBL3492|1.00
2009/2009-170|Microphthalmia-associated transcription factor|CHEMBL1741165|1.00
2009/2009-193|Vascular endothelial growth factor A|CHEMBL1783|1.00
2009/2009-205|Histone deacetylase 10|CHEMBL5103|1.00
2009/2009-205|Histone deacetylase 9|CHEMBL4145|1.00
2009/2009-205|Histone deacetylase 4|CHEMBL3524|1.00
2009/2009-205|Histone deacetylase 1|CHEMBL325|1.00
2009/2009-205|Histone deacetylase 8|CHEMBL3192|1.00
2009/2009-205|Histone deacetylase 2|CHEMBL1937|1.00
2009/2009-205|Histone deacetylase 6|CHEMBL1865|1.00
2009/2009-205|Histone deacetylase 3|CHEMBL1829|1.00
2009/2009-242|Anandamide amidohydrolase|CHEMBL2243|1.00
2009/2009-336|Protein farnesyltransferase|CHEMBL2094108|1.00
2009/2009-366|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2009/2009-440|Coagulation factor XI|CHEMBL2820|1.00
2009/2009-449|Histone deacetylase 1|CHEMBL325|1.00
2009/2009-449|Histone deacetylase 8|CHEMBL3192|1.00
2009/2009-449|Histone deacetylase 6|CHEMBL1865|1.00
2009/2009-571|DNA polymerase kappa|CHEMBL5365|1.00
2009/2009-571|Phospholipase A2 group 1B|CHEMBL4426|1.00
2009/2009-571|Phospholipase A2 group IIA|CHEMBL3474|1.00
2009/2009-585|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2009/2009-603|Protein kinase C zeta|CHEMBL3438|1.00
2009/2009-604|Protein kinase C zeta|CHEMBL3438|1.00
2009/2009-76|MAP kinase signal-integrating kinase 2|CHEMBL4204|1.00
2009/2009-76|Signal transducer and activator of transcription 3|CHEMBL4026|1.00
2009/2009-76|Estrogen receptor alpha|CHEMBL206|1.00
2010/2010-245|NAD-dependent deacetylase sirtuin 2|CHEMBL4462|1.00
2010/2010-260|Cathepsin B|CHEMBL4072|1.00
2010/2010-260|Cathepsin L|CHEMBL3837|1.00
2010/2010-260|Cathepsin L2|CHEMBL3272|1.00
2010/2010-277|T-cell protein-tyrosine phosphatase|CHEMBL3807|1.00
2010/2010-277|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2010/2010-277|Heparanase|CHEMBL3921|1.00
2010/2010-277|Telomerase reverse transcriptase|CHEMBL2916|1.00
2010/2010-27|Quinone reductase 2|CHEMBL3959|1.00
2010/2010-284|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2010/2010-28|Quinone reductase 2|CHEMBL3959|1.00
2010/2010-313|LXR-alpha|CHEMBL2808|1.00
2010/2010-313|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2010/2010-316|Bile acid receptor FXR|CHEMBL2047|1.00
2010/2010-433|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-434|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-435|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-436|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-448|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2010/2010-449|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2010/2010-491|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2010/2010-491|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2010/2010-492|Aldose reductase|CHEMBL1900|1.00
2010/2010-493|Arachidonate 12-lipoxygenase|CHEMBL3687|1.00
2010/2010-493|Arachidonate 15-lipoxygenase|CHEMBL2903|1.00
2010/2010-570|Phospholipase A2 group IIA|CHEMBL3474|1.00
2010/2010-853|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-854|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-855|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2010/2010-874|LXR-alpha|CHEMBL2808|1.00
2010/2010-875|LXR-alpha|CHEMBL2808|1.00
2010/2010-882|P-glycoprotein 1|CHEMBL4302|1.00
2010/2010-909|P-selectin|CHEMBL5378|1.00
2010/2010-921|DNA polymerase kappa|CHEMBL5365|1.00
2010/2010-921|Phospholipase A2 group 1B|CHEMBL4426|1.00
2010/2010-921|Phospholipase A2 group IIA|CHEMBL3474|1.00
2010/2010-99|Cyclin-dependent kinase 1|CHEMBL308|1.00
2010/2010-99|Cyclin-dependent kinase 2|CHEMBL301|1.00
2010/2010-99|Cyclin-dependent kinase 2/cyclin E|CHEMBL2094126|1.00
2010/2010-99|Cyclin-dependent kinase 1/cyclin B1|CHEMBL1907602|1.00
2011/2011-388|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2011/2011-402|HMG-CoA reductase|CHEMBL402|1.00
2011/2011-433|Protein farnesyltransferase|CHEMBL2094108|1.00
2011/2011-434|Protein farnesyltransferase|CHEMBL2094108|1.00
2011/2011-453|Heat shock protein HSP 90-alpha|CHEMBL3880|1.00
2011/2011-50|Matrix metalloproteinase-2|CHEMBL333|1.00
2011/2011-57|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2011/2011-58|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2011/2011-60|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2011/2011-642|Glycine receptor subunit alpha-1|CHEMBL5845|1.00
2011/2011-643|Glycine receptor subunit alpha-1|CHEMBL5845|1.00
2011/2011-647|Phospholipase A2 group IIA|CHEMBL3474|1.00
2011/2011-647|Endothelial PAS domain-containing protein 1|CHEMBL1744522|1.00
2011/2011-648|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2011/2011-649|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2011/2011-868|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2011/2011-871|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2011/2011-872|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2011/2011-909|ATP-binding cassette sub-family G member 2|CHEMBL5393|1.00
2012/2012-1025|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1025|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1025|Focal adhesion kinase 1|CHEMBL2695|1.00
2012/2012-1025|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1025|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1026|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1026|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1026|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1026|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1026|Focal adhesion kinase 1|CHEMBL2695|1.00
2012/2012-1028|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1028|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1028|Focal adhesion kinase 1|CHEMBL2695|1.00
2012/2012-1028|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1028|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1029|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1029|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1029|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1029|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1030|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1030|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1030|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1030|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1031|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1031|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1031|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1031|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1032|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1032|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1032|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1032|Insulin-like growth factor I receptor|CHEMBL1957|1.00
